Word, Frequency, ID
A, 51, 167
AA, 1, 271
AB, 3, 265
AC, 1, 696
AGP, 2, 576
APM, 4, 661
Active, 1, 683
Advanced, 1, 514
After, 1, 695
Alarm, 2, 628
Alice, 2, 395
All, 1, 868
Alone, 1, 1568
Although, 1, 1476
Always, 1, 534
American, 3, 1045
Among, 1, 804
An, 2, 384
And, 2, 1067
Any, 1, 333
Apart, 1, 1260
Are, 1, 1567
As, 3, 1169
Assign, 1, 595
At, 2, 640
Atlantic, 2, 1759
Auto, 4, 489
B, 17, 266
BAB, 1, 281
BIOS, 29, 475
BTTN, 1, 686
Back, 1, 697
Beyond, 1, 1845
Bit, 2, 505
Bl, 1, 691
Blank, 1, 678
Blanking, 1, 694
Block, 1, 503
Boot, 7, 518
Bracewell, 1, 1499
Brenner, 1, 464
Broadly, 2, 1138
Bus, 1, 652
But, 15, 908
Butterfly, 1, 1851
By, 4, 680
C, 5, 212
CAS, 1, 632
CD, 2, 491
CHIPSET, 2, 610
CMOS, 4, 472
CPU, 23, 540
CPUFAN, 1, 701
Cache, 10, 539
Cacheable, 3, 544
Cached, 1, 548
California, 1, 1645
Carroll, 2, 372
Case, 2, 616
Challenger, 1, 1765
Charles, 1, 373
Chars, 1, 585
Check, 1, 533
Checking, 1, 560
Chipset, 1, 611
Clark, 1, 1753
Clock, 1, 645
Competition, 1, 1624
Control, 1, 663
Convinced, 1, 738
Cycle, 1, 622
D, 5, 178
DC, 1, 545
DMA, 1, 509
DOS, 1, 552
DPMS, 4, 672
DRAM, 3, 599
DVD, 1, 594
Data, 2, 569
Date, 1, 478
Delay, 2, 587
Delayed, 1, 641
Det, 1, 196
DetComplexMatrix, 1, 458
Determinants, 5, 152
Device, 1, 519
Disable, 5, 531
Disabled, 19, 554
Disk, 2, 669
Display, 1, 537
Dodgson, 2, 374
Down, 7, 482
Doze, 2, 657
Drive, 3, 484
Dual, 1, 693
Duty, 1, 621
ECC, 5, 559
Each, 2, 1224
Earth, 2, 1439
Education, 3, 720
Effect, 1, 1852
Elementary, 2, 385
Elephants, 1, 1286
Enab, 1, 643
Enable, 9, 524
Enabled, 19, 555
England, 1, 844
Errors, 1, 1863
Event, 1, 704
Events, 1, 713
External, 2, 542
FDD, 1, 606
FEATURES, 4, 549
First, 2, 572
Floppy, 4, 483
Floptical, 2, 493
For, 14, 128
Fortunately, 1, 1560
Fortune, 4, 1214
France, 1, 843
From, 3, 570
Full, 1, 700
Function, 1, 649
Gattegno, 1, 410
Germany, 1, 842
Ghz, 1, 556
Given, 1, 261
Global, 1, 711
Green, 1, 664
H, 3, 676
HDD, 4, 487
Hadamard, 1, 459
Hard, 2, 668
HardDisk, 1, 523
Heath, 1, 387
Her, 1, 438
Here, 1, 349
Hole, 1, 639
Holy, 1, 1666
How, 1, 1722
However, 2, 420
I, 20, 270
ID, 2, 563
IDE, 9, 495
IRQ, 6, 530
ISA, 3, 592
Ideas, 1, 1664
If, 8, 158
Important, 1, 308
In, 7, 690
Indeed, 4, 1240
Instant, 2, 687
Integrity, 1, 635
Intel, 1, 564
Internal, 2, 538
International, 1, 1039
It, 18, 440
James, 1, 1752
Jersey, 1, 1911
K, 2, 486
L, 6, 541
LAN, 1, 571
LBA, 2, 496
LED, 1, 689
LS, 2, 494
Language, 1, 195
Laplacian, 2, 230
Large, 2, 497
Las, 1, 914
Let, 1, 292
Lewis, 1, 371
Logic, 1, 422
London, 1, 1590
M, 13, 222
MANAGEMET, 1, 654
MANAGEMMET, 1, 655
MB, 2, 600
Majesty, 1, 439
Management, 1, 660
Mars, 1, 1441
Master, 2, 512
Memory, 3, 638
Mercury, 1, 1449
Method, 1, 671
Mhz, 1, 557
Mikkelson, 2, 457
Milky, 1, 1471
Mode, 14, 504
Modem, 1, 708
ModemRingOn, 1, 706
Monitor, 2, 666
Moral, 1, 955
Morocco, 1, 1644
Mouse, 1, 528
Msec, 1, 588
Muir, 2, 179
Multiples, 1, 323
NT, 2, 507
Nature, 1, 1504
Netware, 1, 500
Network, 1, 520
New, 1, 1910
No, 8, 603
None, 1, 485
Norma, 1, 623
Normal, 2, 656
Note, 1, 181
Novell, 1, 499
NumLock, 2, 578
O, 3, 297
ON, 1, 580
OS, 3, 597
Of, 4, 1198
Off, 7, 502
Office, 1, 1667
On, 5, 498
Once, 2, 1032
One, 2, 1061
Open, 1, 617
Opened, 1, 619
Option, 1, 589
Our, 2, 1641
PC, 1, 665
PCI, 10, 575
PIO, 3, 508
PM, 1, 662
PME, 1, 703
POWER, 2, 653
PS, 3, 527
PWR, 1, 685
Page, 2, 480
Palette, 1, 590
Panel, 1, 631
Passive, 2, 650
Password, 2, 532
Pentium, 6, 558
Perhaps, 1, 1691
Periwigs, 2, 968
Power, 9, 630
Precisely, 1, 1900
Primary, 3, 510
Princeton, 1, 1909
Processor, 1, 561
Professor, 1, 1497
Property, 3, 334
Queen, 4, 376
Quick, 2, 525
R, 5, 348
ROM, 2, 492
Radio, 1, 1539
Rate, 2, 582
Recovery, 1, 637
Release, 2, 651
Reload, 1, 710
Report, 1, 605
Reset, 1, 615
Resume, 1, 709
Ronald, 1, 1498
Ross, 1, 1754
S, 5, 521
SA, 1, 596
SCSI, 3, 490
SDRAM, 5, 612
SETUP, 7, 477
SPD, 2, 634
SRAM, 1, 613
STANDARD, 1, 476
SYNC, 1, 677
Saturday, 2, 1155
Scalar, 1, 329
Scalars, 1, 320
Screen, 2, 674
Sec, 1, 586
Secondary, 2, 511
Secs, 1, 688
Security, 2, 535
Seek, 1, 577
Select, 2, 598
Sequence, 1, 573
Sett, 1, 583
Setup, 4, 474
Several, 1, 368
Shadow, 2, 546
Shortly, 1, 1763
Shutdown, 1, 625
Similarly, 1, 1549
Since, 1, 1795
Sir, 1, 1751
Slave, 1, 513
Slow, 1, 620
Snoop, 1, 591
So, 4, 698
Soft, 2, 684
Sometimes, 1, 1343
Soon, 1, 1921
Spectrum, 1, 647
Spread, 1, 646
Stand, 1, 679
Standard, 1, 473
Standby, 5, 658
State, 1, 667
Stating, 1, 579
Status, 1, 618
Such, 4, 1122
Sullivan, 1, 1564
Support, 1, 529
Suppose, 1, 1891
Suspend, 8, 659
Swap, 2, 526
Switching, 1, 316
Symbolic, 1, 421
System, 4, 543
T, 3, 289
TFor, 1, 522
Temp, 2, 626
Temperature, 1, 627
The, 39, 166
Their, 2, 1219
Then, 1, 294
There, 7, 831
These, 2, 984
They, 2, 1202
This, 6, 227
Time, 3, 479
Timeout, 2, 682
Timer, 1, 712
Timing, 1, 614
To, 2, 1112
